"인증업체코드","인증분야","인증분야명","업체명","X좌표","Y좌표","주소","전화"
"1","6","먹을만큼적당히","장충동 진두부집","127.00529690166144","37.56093529974413","서울특별시 중구 동호로24길 39 (장충동2가(지하1층지상1층2층))","02-2275-9345"
"2","6","먹을만큼적당히","아미소","126.98410897147595","37.562458835529654","서울특별시 중구 명동4길 25 (명동2가외2필지 (지상5층))","02-756-3317"
"3","6","먹을만큼적당히","고시레","126.98845983076977","37.562019654627235","서울특별시 중구 명동8가길 61 1층 (충무로2가)","02-3789-1357"
"4","1","위생등급제","KR 명동삼계탕","126.9821625365","37.5610782306","서울특별시 중구 명동8나길  49","02-778-7370"
"5","1","위생등급제","쿠우쿠우 명동본점","126.9853944127","37.5641420629","서울특별시 중구 명동길 55 4층 (명동1가)","02-753-1230"
"6","1","위생등급제","(주)토다이명동점","126.98288636707568","37.56341011693503","서울특별시 중구 명동길 14 눈스퀘어 (지상7층)","02-3783-4200"
"7","1","위생등급제","씨제이푸드빌(주)한쿡","126.99076109350275","37.550858300220874","서울특별시 용산구 남산공원길  126(전망1층 용산동)","02-3455-9292"
"8","1","위생등급제","차돌집Ⅱ","126.9874457328","37.534885074","서울특별시 용산구 녹사평대로40길 25 (이태원동(지상12층))","02-790-7090"
"9","1","위생등급제","차돌집","126.98727813774283","37.53573560075049","서울특별시 용산구 녹사평대로40길 5 (이태원동 540 지상12층)","02-790-0789"
"10","1","위생등급제","한강집생태","126.9730175137","37.5357620355","서울특별시 용산구 백범로 400 (한강로1가 257-9 지상1층)","02-716-7452"
"11","1","위생등급제","꽃산달","126.95522213244247","37.536023324927484","서울특별시 용산구 효창원로 53-12가 외 20필지 지하1층","02-707-1422"
"12","1","위생등급제","동천홍","126.9799028761","37.5462690661","서울특별시 용산구 두텁바위로 69 (후암동)","02-779-7781"
"13","7","안심식육판매소","수협바다마트 동대문점","127.01188538472036","37.56918434126147","서울특별시 중구 마장로1길 25 지하1층 ","02-2232-6211"
"14","1","위생등급제","이가촌","126.9856119373","37.5630681019","서울특별시 중구 명동10길 19-3 (명동2가삼존빌딩 3층)","02-754-0223"
"15","1","위생등급제","수원왕갈비","126.98518636218038","37.56306804927225","서울특별시 중구 명동10길 16-1 (명동2가(3층))","02-777-8680"
"16","1","위생등급제","베르쟈뎅","126.98582898948871","37.56445566255825","서울특별시 중구 명동11길 9","02-756-1112"
"17","1","위생등급제","중일회관","126.9959178293","37.5348352147","서울특별시 용산구 이태원로 197 (이태원동 124-4 지상2층)","02-794-3392"
"18","1","위생등급제","두바이(DUBAI)","126.99537025","37.5343666741","서울특별시 용산구 이태원로 192 (이태원동(지상2층))","02-798-9277"
"19","1","위생등급제","투게더","126.9931079541","37.5285641153","서울특별시 용산구 장문로 23 (이태원동(지상1층))","02-792-1122"
"20","1","위생등급제","고인돌","126.9931079541","37.5285641153","서울특별시 용산구 장문로 23 (이태원동(지하2층))","02-797-9434"
"21","1","위생등급제","칸지고고","126.9723027248","37.5717044774","서울특별시 종로구 새문안로3길 15 (당주동128-27외1필지동원리소스빌딩별관1층)","02-730-3599"
"22","1","위생등급제","시골밥상","126.97359673590972","37.57446181840645","서울특별시 종로구 새문안로5가길 28 (적선동광화문쌍용빌딩 지108호)",""
"23","1","위생등급제","죽전","126.97396780675917","37.57512863686538","서울특별시 종로구 새문안로5길 55 1층 (적선동)","02-735-6565"
"24","1","위생등급제","미강","126.9745941364","37.5708652653","서울특별시 종로구 새문안로5길  5-3","02-733-1608"
